island,species,year,source,lon,lat
Maui,Pellaea_ternifolia,1961,Pteridoportal,-156.198163,20.754747
Hawaii,Pellaea_ternifolia,2004,Pteridoportal,-155.451056,19.735944
Hawaii,Pellaea_ternifolia,1971,Pteridoportal,-155.319613,19.44635
Hawaii,Pellaea_ternifolia,NA,Pteridoportal,-155.280519,19.406031
Hawaii,Pellaea_ternifolia,2019,iNaturalist,-155.7705005,19.16030298
Hawaii,Pellaea_ternifolia,2021,iNaturalist,-155.7722194,19.16484444
Kauai,Pityrogramma_austroamericana,2021,GBIF,-159.464692,22.101278
Oahu,Pityrogramma_austroamericana,2021,GBIF,-157.737672,21.301617
Oahu,Pityrogramma_austroamericana,2021,GBIF,-158.215745,21.556355
Oahu,Pityrogramma_austroamericana,2021,GBIF,-158.204195,21.513095
Kauai,Pityrogramma_austroamericana,2022,GBIF,-159.673937,22.111203
Kauai,Pityrogramma_austroamericana,2021,GBIF,-159.610305,22.100686
Oahu,Pityrogramma_austroamericana,2021,GBIF,-158.216801,21.556154
Oahu,Pityrogramma_austroamericana,2021,GBIF,-158.222479,21.552371
Hawaii,Pityrogramma_austroamericana,2022,GBIF,-155.831384,19.779658
Hawaii,Pityrogramma_austroamericana,2022,GBIF,-155.245545,19.412997
Maui,Pityrogramma_austroamericana,2021,GBIF,-156.549744,20.878617
Maui,Pityrogramma_austroamericana,2021,GBIF,-156.539322,20.882378
Oahu,Pityrogramma_austroamericana,2021,GBIF,-158.194499,21.507134
Oahu,Pityrogramma_austroamericana,2021,GBIF,-158.196878,21.508312
Kauai,Pityrogramma_austroamericana,2022,GBIF,-159.661575,22.071861
Kauai,Pityrogramma_austroamericana,2018,GBIF,-159.658898,22.05185
Hawaii,Pityrogramma_austroamericana,2017,GBIF,-156.022097,19.678784
Hawaii,Pityrogramma_austroamericana,2019,GBIF,-155.253422,19.399049
Hawaii,Pityrogramma_austroamericana,2022,GBIF,-155.284003,19.423292
Hawaii,Pityrogramma_austroamericana,2021,GBIF,-155.679642,19.067135
Hawaii,Pityrogramma_austroamericana,2016,GBIF,-155.265836,19.402579
Hawaii,Pityrogramma_austroamericana,2014,GBIF,-155.298695,19.681001
Oahu,Pityrogramma_austroamericana,2021,GBIF,-158.197279,21.508357
Hawaii,Pityrogramma_austroamericana,2015,GBIF,-155.265814,19.402421
Hawaii,Pityrogramma_austroamericana,2015,GBIF,-155.264954,19.40236
Kauai,Pityrogramma_austroamericana,2022,GBIF,-159.658869,22.051886
Hawaii,Pityrogramma_austroamericana,2022,GBIF,-155.265945,19.401688
Kauai,Pityrogramma_austroamericana,2022,GBIF,-159.353088,22.063631
Hawaii,Pityrogramma_austroamericana,2022,GBIF,-155.264365,19.402731
Kauai,Pityrogramma_austroamericana,2022,GBIF,-159.626693,22.130015
Oahu,Pityrogramma_austroamericana,2021,GBIF,-157.729944,21.312028
Hawaii,Pityrogramma_austroamericana,2008,GBIF,-155.23758,19.37697
Oahu,Pityrogramma_austroamericana,2018,GBIF,-157.73775,21.30089
Hawaii,Pityrogramma_austroamericana,2022,GBIF,-155.384033,19.676963
Hawaii,Pityrogramma_austroamericana,2022,GBIF,-155.346368,19.672308
Hawaii,Pityrogramma_austroamericana,2022,GBIF,-155.685521,19.170118
Oahu,Pityrogramma_austroamericana,2021,GBIF,-157.737697,21.301586
Oahu,Pityrogramma_austroamericana,2021,GBIF,-158.212106,21.560272
Oahu,Pityrogramma_austroamericana,2021,GBIF,-157.738925,21.308047
Oahu,Pityrogramma_austroamericana,2021,GBIF,-158.207718,21.513113
Oahu,Pityrogramma_austroamericana,2021,GBIF,-158.217183,21.548347
Oahu,Pityrogramma_austroamericana,2021,GBIF,-158.154617,21.502583
Oahu,Pityrogramma_austroamericana,2021,GBIF,-158.19665,21.508119
Oahu,Pityrogramma_austroamericana,2021,GBIF,-158.110336,21.473203
Hawaii,Pityrogramma_austroamericana,2019,GBIF,-155.243125,19.412226
Kauai,Pityrogramma_austroamericana,2015,GBIF,-159.664211,22.107033
Oahu,Pityrogramma_austroamericana,1961,GBIF,-157.9,21.4
Oahu,Pityrogramma_austroamericana,1996,GBIF,-158.2,21.53
Oahu,Pityrogramma_austroamericana,2016,iNaturalist,-157.8646383,21.55647833
Hawaii,Pityrogramma_austroamericana,2017,iNaturalist,-155.2458137,19.41282528
Kauai,Pityrogramma_austroamericana,2011,iNaturalist,-159.6593928,22.05199357
Hawaii,Pityrogramma_austroamericana,2018,iNaturalist,-155.862305,19.7965
Hawaii,Pityrogramma_austroamericana,2019,iNaturalist,-155.6101083,19.06660833
Maui,Pityrogramma_austroamericana,2019,iNaturalist,-156.3021892,20.83351885
Hawaii,Pityrogramma_austroamericana,2019,iNaturalist,-155.4739383,19.24720833
Hawaii,Pityrogramma_austroamericana,2019,iNaturalist,-155.0637657,19.70232062
Hawaii,Pityrogramma_austroamericana,2020,iNaturalist,-155.2464617,19.41328
Hawaii,Pityrogramma_austroamericana,2020,iNaturalist,-155.2474619,19.41340825
Oahu,Pityrogramma_austroamericana,2021,iNaturalist,-157.807125,21.34154667
Oahu,Pityrogramma_austroamericana,2021,iNaturalist,-158.19348,21.541253
Oahu,Pityrogramma_austroamericana,2021,iNaturalist,-158.1376303,21.4519633
Hawaii,Pityrogramma_austroamericana,2021,iNaturalist,-155.62448,20.0410195
Oahu,Pityrogramma_austroamericana,2021,iNaturalist,-158.19345,21.50680278
Kauai,Pityrogramma_austroamericana,2021,iNaturalist,-159.6329201,22.13185677
Oahu,Pityrogramma_austroamericana,2021,iNaturalist,-157.7419194,21.30051111
Hawaii,Pityrogramma_austroamericana,2021,iNaturalist,-155.7546196,19.1395264
Hawaii,Pityrogramma_austroamericana,2021,iNaturalist,-155.7722194,19.16484444
Hawaii,Pityrogramma_austroamericana,2021,iNaturalist,-155.35605,19.3499
Hawaii,Pityrogramma_austroamericana,2009,iNaturalist,-155.3013364,19.40097565
Hawaii,Pityrogramma_austroamericana,2016,iNaturalist,-155.2140123,19.36445065
Hawaii,Pityrogramma_austroamericana,2021,iNaturalist,-155.2633833,19.40343333
Hawaii,Pityrogramma_austroamericana,2022,iNaturalist,-155.2457931,19.41311171
Hawaii,Pityrogramma_austroamericana,2022,iNaturalist,-155.2891325,19.4193205
Hawaii,Pityrogramma_austroamericana,2022,iNaturalist,-155.2810145,19.4264423
Kauai,Pityrogramma_austroamericana,2022,iNaturalist,-159.658413,22.04919597
Kauai,Pityrogramma_austroamericana,2022,iNaturalist,-159.670692,22.11392997
Oahu,Pityrogramma_austroamericana,2022,iNaturalist,-157.741473,21.296198
Hawaii,Pityrogramma_austroamericana,2022,iNaturalist,-155.245848,19.41296148
Hawaii,Pityrogramma_austroamericana,2022,iNaturalist,-155.203816,19.33644142
Kauai,Pityrogramma_austroamericana,2015,Pteridoportal,-159.664211,22.107033
Oahu,Pityrogramma_austroamericana,1996,Pteridoportal,-158.2,21.53
Oahu,Pityrogramma_austroamericana,2018,Pteridoportal,-157.73775,21.30089
Oahu,Doryopteris_decipiens,2022,iNaturalist,-157.6799056,21.28076667
Oahu,Doryopteris_decipiens,2022,iNaturalist,-157.68007,21.28079667
Oahu,Doryopteris_decipiens,2022,iNaturalist,-157.6802528,21.28091667
Oahu,Doryopteris_decipiens,2021,iNaturalist,-157.6864186,21.2847925
Oahu,Doryopteris_decipiens,2021,iNaturalist,-157.6865983,21.28491257
Oahu,Doryopteris_decipiens,2022,iNaturalist,-157.6526139,21.30876667
Oahu,Doryopteris_decipiens,2022,iNaturalist,-157.65262,21.30881667
Oahu,Doryopteris_decipiens,2022,iNaturalist,-157.650675,21.30908889
Oahu,Doryopteris_decipiens,2022,iNaturalist,-157.6537889,21.30958611
Oahu,Doryopteris_decipiens,2021,iNaturalist,-158.1653722,21.50116667
Oahu,Doryopteris_decipiens,2021,iNaturalist,-158.1961806,21.50728056
Oahu,Doryopteris_decipiens,2021,iNaturalist,-158.1963861,21.50752778
Oahu,Doryopteris_decipiens,2021,iNaturalist,-158.1963886,21.50806588
Oahu,Doryopteris_decipiens,2021,iNaturalist,-158.1979367,21.50843
Oahu,Doryopteris_decipiens,2021,iNaturalist,-158.1983194,21.50865
